OBJECTID_1,Join_Count,TARGET_FID,area,count,lng,lat,NEAR_FID,NEAR_DIST,FID_1,OBJECTID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,分类,Shape_Leng,ori_label,CATEGORY,IDS,NUMS,SUBTYPE,OBJECTID_12,Label,Topic,Doc_ID,BertIds,labels
1,1,1,雄楚大道公安厅门前辅道（石牌岭西路至丁字桥螺口方向）,1,114.328135553000000,30.533127927199999,3116,0.000293889266905,3116,3485,231521436,5114,secondary,丁字桥路, ,F,0,0.000000000000000,F,F,城市主干道,345.270165147999990,889,诊所 公共停车场 路边停车场 生活服务场所 临街院门 旅馆招待所 中餐厅 公共停车场 餐饮相关 临街院门 临街院门 公交车站相关 路边停车场 住宅区 维修站点 维修站点 路边停车场 生活服务场,629,988,诊所 停车场 停车场 生活服务场所 临街院门 旅馆招待所 中餐厅 停车场 餐饮相关场所 临街院门 临街院门 公交车站 停车场 住宅区 维修站点 维修站点 停车场 生活服务场所 中餐厅 临街院门 便,1,889,-1,629,629,-1
2,1,2,东湖景园路段,10,114.369575369000000,30.584306978000001,5529,0.001542689850460,5529,6268,456583419,5114,secondary, , ,F,0,0.000000000000000,F,F,城市主干道,1187.181641650000100,1508,美容美发店 美容美发店 宿舍 路边停车场 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 中餐厅 专科医院 医疗保健服务场所 建筑物门 三级甲等医院 医疗保健服务场所 自动提款机 公共停车场 急救,1201,175,美容美发店 美容美发店 住宅区 停车场 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 中餐厅 专科医院 医疗保健服务场所 建筑物门 综合医院 医疗保健服务场所 自动提款机 停车,2,1508,6,1201,1201,6
3,1,3,汉阳区四新北路红星美凯龙门口,24,114.240365811999990,30.514680308599999,3602,0.000044714483654,3602,4005,233478900,5114,secondary,鹦鹉大道, ,B,0,0.000000000000000,F,F,城市主干道,6092.375444010000100,628,停车场相关 中餐厅 汽车综合维修 汽车俱乐部 停车场相关 验车场 工厂 科教文化场所 停车场出口 停车场入口 公共停车场 路口名 洗浴推拿场所 停车场出口 临街院门 中餐厅 停车场入口 公共停,396,55,停车场 中餐厅 汽车综合维修 汽车俱乐部 停车场 交通车辆管理 工厂 科教文化场所 停车场 停车场 停车场 交通地名 洗浴推拿场所 停车场 临街院门 中餐厅 停车场 停车场 停车场 宾馆酒店 停车,3,628,-1,396,396,-1
4,1,4,风景区二环线东湖景园路段,10,114.369575369000000,30.584306978000001,5529,0.001542689850460,5529,6268,456583419,5114,secondary, , ,F,0,0.000000000000000,F,F,城市主干道,1187.181641650000100,1508,美容美发店 美容美发店 宿舍 路边停车场 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 中餐厅 专科医院 医疗保健服务场所 建筑物门 三级甲等医院 医疗保健服务场所 自动提款机 公共停车场 急救,1201,175,美容美发店 美容美发店 住宅区 停车场 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 中餐厅 专科医院 医疗保健服务场所 建筑物门 综合医院 医疗保健服务场所 自动提款机 停车,4,1508,6,1201,1201,6
5,1,5,紫阳东路东安路口,10,114.313580754000000,30.529126178700000,3139,0.000006576168712,3139,3508,231522780,5115,tertiary,东安路, ,B,0,0.000000000000000,F,F,城市次干道,166.705176642000000,825,中餐厅 住宿服务相关 住宅小区 美容美发店 中餐厅 彩票彩券销售点 生活服务场所 彩票彩券销售点 商务住宅相关 中餐厅 住宅小区 临街院门 中餐厅 住宅区 洗浴推拿场所 旅馆招待所 住宿服务,569,618,中餐厅 住宿服务相关 住宅区 美容美发店 中餐厅 彩票彩券销售点 生活服务场所 彩票彩券销售点 商务住宅相关 中餐厅 住宅区 临街院门 中餐厅 住宅区 洗浴推拿场所 旅馆招待所 住宿服务相关,5,825,6,569,569,6
6,1,6,建设大道延长线与和谐大道交汇处,20,114.298197348000000,30.645682395100000,5382,0.000113371484590,5382,6070,456043539,5114,secondary,兴业路, ,F,0,0.000000000000000,F,F,城市主干道,2909.966174010000000,2286,中餐厅 楼栋号 楼栋号 楼栋号 楼栋号 楼栋号 汽车维修 楼栋号 快餐厅 汽车养护 汽车养护 汽车养护 楼栋号 楼栋号 公司企业 培训机构 临街院门 住宅小区 汽车服务相关 公共停车场 公共停车场,1793,358,中餐厅 门牌信息 门牌信息 门牌信息 门牌信息 门牌信息 汽车维修 门牌信息 快餐厅 汽车养护/装饰 汽车养护/装饰 汽车养护/装饰 门牌信息 门牌信息 公司企业 培训机构 临街院门 住宅区 汽车,6,2286,-1,1793,1793,-1
7,1,7,硚口区知音桥桥面,10,114.213692069999990,30.578503931800000,2391,0.001929094105490,2391,2715,177261200,5114,secondary,沿河大道, ,F,0,0.000000000000000,F,F,城市主干道,5353.255427500000200,1415,路口名 桥 旅馆招待所 公共厕所 城市快速路出口 交通服务相关 公园 公司企业 羽毛球场 临街院门 交通服务相关 运动场所 政府机关相关 公司企业 公共停车场 港口码头 火锅店 综合体育馆 宿,1115,60,交通地名 交通地名 旅馆招待所 公共厕所 交通地名 交通服务相关 公园广场 公司企业 运动场馆 临街院门 交通服务相关 运动场馆 政府机关 公司企业 停车场 港口码头 中餐厅 运动场馆 住宅区,7,1415,5,1115,1115,5
8,1,8,琴台大道古田桥,20,114.218021111000000,30.570990414600001,1455,0.000010117923130,1455,1622,116184473,5113,primary,琴台大道, ,F,0,0.000000000000000,F,F,城市主干道,3061.950147149999800,1355,停车场相关 住宅小区 临街院门 华夏银行ATM 公司企业 汽车维修 汽车养护 汽车养护 海鲜酒楼 政府及社会团体相关 科教文化场所 运动场所 中国银行ATM 中国工商银行ATM 中国银行 中国银行ATM 驾,1061,212,停车场 住宅区 临街院门 自动提款机 公司企业 汽车维修 汽车养护/装饰 汽车养护/装饰 中餐厅 政府及社会团体相关 科教文化场所 运动场馆 自动提款机 自动提款机 银行 自动提款机 驾校 社会,8,1355,4,1061,1061,4
9,1,9,琴台大道郭茨口邮局门口,20,114.208652834000010,30.571629549099999,5265,0.000604333850611,5265,5908,455183514,5112,trunk,二环线, ,F,0,0.000000000000000,F,F,高架及快速路,279.856325755000000,1353,洗衣店 棋牌室 旅馆招待所 住宅小区 临街院正门 美容美发店 住宅小区 临街院门 乡镇级政府及事业单位 乡镇级政府及事业单位 住宅小区 交通服务相关 交通服务相关 传媒机构 住宅小区 邮局,1059,743,洗衣店 娱乐场所 旅馆招待所 住宅区 临街院门 美容美发店 住宅区 临街院门 政府机关 政府机关 住宅区 交通服务相关 交通服务相关 传媒机构 住宅区 邮局 银行 自动提款机 中介机构 邮局 自动,9,1353,5,1059,1059,5
10,1,10,张之洞路首义路口,5,114.304976147000000,30.537563043599999,3512,0.001030355135590,3512,3898,231810585,5114,secondary,首义路, ,B,0,0.000000000000000,F,F,城市主干道,860.237792255000040,946,乒乓球馆 运动场所 篮球场馆 运动场所 专用停车场 公共停车场 学校 成人教育 成人教育 科研机构 商业贸易 出版社 建筑物正门 建筑物正门 高等院校 高等院校 成人教育 学校 成人教育 高等院,682,674,运动场馆 运动场馆 运动场馆 运动场馆 停车场 停车场 学校 学校 学校 科研机构 公司 传媒机构 建筑物门 建筑物门 学校 学校 学校 学校 学校 学校 学校 学校 学校 物流速递 学校 学校 建筑物门,10,946,2,682,682,2
11,1,11,四新南路新华园二路,35,114.216563683999990,30.512128117700001,7365,0.000050228784973,7365,8416,721828543,5114,secondary, , ,F,0,0.000000000000000,F,F,城市主干道,3369.060310460000000,623,汽车服务相关 中国石油 公共厕所 汽车服务相关 生活服务场所 公交车站相关 公共停车场 汽车综合维修 宾馆酒店 汽车配件销售 汽车综合维修 汽车养护 汽车养护 生活服务场所 社区中心 公共,391,40,汽车服务相关 加油站 公共厕所 汽车服务相关 生活服务场所 公交车站 停车场 汽车综合维修 宾馆酒店 汽车配件销售 汽车综合维修 汽车养护/装饰 汽车养护/装饰 生活服务场所 住宅区 停车场,11,623,5,391,391,5
12,1,12,汉口部分地区,3,114.248979996000000,30.621536362699999,7595,0.001864570297400,7595,8779,765596667,5122,residential, , ,B,0,0.000000000000000,F,F,城市支路,245.455205615000010,1971,站台 站台 楼栋号 进站口/检票口 交通服务相关 进站口/检票口 商务住宅相关 超市 生活服务场所 进站口/检票口 交通服务相关 公共停车场 站台 站台 中餐厅 停车场入口 进站口/检票口 站台 站,1603,286,火车站 火车站 门牌信息 火车站 交通服务相关 火车站 商务住宅相关 超级市场 生活服务场所 火车站 交通服务相关 停车场 火车站 火车站 中餐厅 停车场 火车站 火车站 火车站 商务住宅相关 工,12,1971,5,1603,1603,5
13,1,13,虎泉街保利华都,165,114.378589057000000,30.510854259799999,2237,0.000129499826135,2237,2494,169556485,5122,residential, , ,B,0,0.000000000000000,F,F,城市支路,493.971693469000000,655,住宅小区 住宅小区 住宅小区 楼栋号 住宅区 住宅小区 住宅小区 楼栋号 住宅小区 住宅小区 住宅小区 住宅区 住宅小区 住宅小区 培训机构 成人教育 休闲场所 宿舍 建筑物门 住宅小区 生活服务,423,146,住宅区 住宅区 住宅区 门牌信息 住宅区 住宅区 住宅区 门牌信息 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 培训机构 学校 休闲场所 住宅区 建筑物门 住宅区 生活服务场所 物流速递 公司 物,13,655,2,423,423,2
14,1,14,洪山路省政府往东一路,7,114.409219385000000,30.516327343099999,657,0.000024592955367,657,759,103806241,5121,unclassified, , ,B,0,0.000000000000000,F,F,城市支路,619.512502661999970,722,火车票代售点 旅行社 售票处 生活服务场所 公园 中餐厅 临街院门 宿舍 学校 宿舍 公司 高等院校 中餐厅 停车场出入口 公共停车场 临街院门 学校 中餐厅 专用停车场 美术馆 学校 物流速递 培,480,582,售票处 旅行社 售票处 生活服务场所 公园广场 中餐厅 临街院门 住宅区 学校 住宅区 公司 学校 中餐厅 停车场 停车场 临街院门 学校 中餐厅 停车场 美术馆 学校 物流速递 培训机构 学校 会展,14,722,-1,480,480,-1
15,1,15,雄楚大道公安厅门前辅道（石牌岭西路至丁字桥螺口方向）,7,114.324689678000000,30.528302602800000,3123,0.000644136816024,3123,3492,231521444,5121,unclassified, , ,B,0,0.000000000000000,F,F,城市支路,647.429438071000050,828,住宅小区 住宅小区 住宅小区 生活服务场所 住宅小区 物流速递 住宅区 临街院门 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公,572,497,住宅区 住宅区 住宅区 生活服务场所 住宅区 物流速递 住宅区 临街院门 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 公司企业 医,15,828,3,572,572,3
16,1,16,协和肿瘤医院,8,114.258025423000010,30.615595848200002,4946,0.000536566272814,4946,5527,378864127,5113,primary,新华路, ,F,0,0.000000000000000,F,F,城市主干道,1817.017795560000000,1912,酒吧 中餐厅 KTV 湖南菜(湘菜) 特色商业街 金融保险机构 中餐厅 海鲜酒楼 宾馆酒店 培训机构 金融保险机构 网吧 法式菜品餐厅 海鲜酒楼 美容美发店 火锅店 海鲜酒楼 海鲜酒楼 茶艺馆 茶餐厅,1553,776,娱乐场所 中餐厅 娱乐场所 中餐厅 特色商业街 金融保险服务机构 中餐厅 中餐厅 宾馆酒店 培训机构 金融保险服务机构 娱乐场所 外国餐厅 中餐厅 美容美发店 中餐厅 中餐厅 中餐厅 茶艺馆 快,16,1912,6,1553,1553,6
17,1,17,开放学院门口涵洞,12,114.392239004999990,30.501992226399999,3169,0.000613153337750,3169,3538,231527033,5113,primary,民族大道, ,F,0,0.000000000000000,F,F,城市主干道,660.317317904999980,536,培训机构 展览馆 住宅区 住宅区 培训机构 培训机构 公司企业 公司 公司企业 专用停车场 自动提款机 自动提款机 职业技术学校 职业技术学校 高等院校 美容美发店 高等院校 公共停车场 住宅,327,918,培训机构 展览馆 住宅区 住宅区 培训机构 培训机构 公司企业 公司 公司企业 停车场 自动提款机 自动提款机 学校 学校 学校 美容美发店 学校 停车场 住宅区 公司企业 生活服务场所 公司企业,17,536,-1,327,327,-1
18,1,18,欢乐大道辅道,20,114.375104306000000,30.591784854299998,5092,0.000018237969116,5092,5710,414629940,5111,motorway, , ,F,0,0.000000000000000,F,F,高架及快速路,310.479245680000020,1631,中国农业银行 中国农业银行ATM 公共厕所 中国农业银行ATM 中国农业银行 广告装饰 科教文化场所 经济型连锁酒店 经济型连锁酒店 政府及社会团体相关 公司企业 经济型连锁酒店 健身中心 公司,1309,193,银行 自动提款机 公共厕所 自动提款机 银行 公司 科教文化场所 宾馆酒店 宾馆酒店 政府及社会团体相关 公司企业 宾馆酒店 运动场馆 公司企业 餐饮相关场所 临街院门 停车场 停车场 停车场,18,1631,5,1309,1309,5
19,1,19,解放大道武展西路,8,114.266756482999990,30.582488160200000,2833,0.000058832389950,2833,3180,178441764,5115,tertiary,武展西路, ,F,0,0.000000000000000,F,F,城市次干道,401.589563531000010,1487,违章停车 餐饮相关 公共停车场 公共停车场 停车场入口 公共停车场 日本料理 超市 餐饮相关 快餐厅 交通服务相关 糕饼店 停车场相关 餐饮相关 中餐厅 停车场出入口 公共停车场 培训机构 中,1180,2168,警示信息 餐饮相关场所 停车场 停车场 停车场 停车场 外国餐厅 超级市场 餐饮相关场所 快餐厅 交通服务相关 糕饼店 停车场 餐饮相关场所 中餐厅 停车场 停车场 培训机构 中餐厅 停车场 临街,19,1487,6,1180,1180,6
20,1,20,青年路万松横路南向北,8,114.257775869000000,30.602915879800001,5935,0.000025232901048,5935,6711,481237362,5113,primary,青年路, ,F,0,0.000000000000000,F,F,城市主干道,627.605445088000010,1729,出版社 培训机构 证券营业厅 证券营业厅 生活服务场所 驾校 公司 驾校 餐饮相关 培训机构 培训机构 科教文化场所 出版社 科教文化场所 兴业银行ATM 生活服务场所 生活服务场所 培训机构 科,1391,509,传媒机构 培训机构 证券公司 证券公司 生活服务场所 驾校 公司 驾校 餐饮相关场所 培训机构 培训机构 科教文化场所 传媒机构 科教文化场所 自动提款机 生活服务场所 生活服务场所 培训机构,20,1729,-1,1391,1391,-1
21,1,21,黄鹂路至省博路转盘,10,114.358560216000000,30.566125152600002,3208,0.000019651117191,3208,3577,231778124,5115,tertiary, , ,F,0,-1.000000000000000,F,T,城市次干道,119.285372792000000,1322,运动场所 餐饮相关 中餐厅 临街院门 临街院门 健身中心 中餐厅 临街院门 宿舍 洗浴推拿场所 药房 交通服务相关 生活服务场所 KTV 公共停车场 宿舍 商务写字楼 临街院门 报社 临街院门 洗浴推,1034,495,运动场馆 餐饮相关场所 中餐厅 临街院门 临街院门 运动场馆 中餐厅 临街院门 住宅区 洗浴推拿场所 医药保健销售店 交通服务相关 生活服务场所 娱乐场所 停车场 住宅区 楼宇 临街院门 传媒,21,1322,-1,1034,1034,-1
22,1,22,高新区民族大道新竹路口12处,20,114.386311850000000,30.468758878599999,4965,0.009476489269430,4965,5546,379886766,5122,residential, , ,F,0,0.000000000000000,F,F,城市支路,106.504735232000000,108,公交车站相关 生活服务场所 游乐场 美容美发店 住宅小区 住宅区 公司 美容美发店 美容美发店 外国餐厅 网络科技 生活服务场所 生活服务场所 婴儿游泳馆 中餐厅 科教文化场所 特色/地方风味,38,147,公交车站 生活服务场所 休闲场所 美容美发店 住宅区 住宅区 公司 美容美发店 美容美发店 外国餐厅 公司 生活服务场所 生活服务场所 婴儿服务场所 中餐厅 科教文化场所 中餐厅 体育休闲服务,22,108,-1,38,38,-1
23,1,23,航空路西边人行道,4,114.256257301999990,30.587061422500000,2663,0.000018291832816,2663,2999,178132122,5115,tertiary,航空路, ,B,0,0.000000000000000,F,F,城市次干道,1343.341422519999900,1546,宿舍 住宅小区 宿舍 临街院门 中餐厅 中餐厅 住宅小区 中餐厅 中餐厅 生活服务场所 建筑公司 特色/地方风味餐厅 中学 网吧 科教文化场所 驾校 中餐厅 口腔医院 口腔医院 路边停车场 商务住,1232,990,住宅区 住宅区 住宅区 临街院门 中餐厅 中餐厅 住宅区 中餐厅 中餐厅 生活服务场所 公司 中餐厅 学校 娱乐场所 科教文化场所 驾校 中餐厅 专科医院 专科医院 停车场 商务住宅相关 临街院门,23,1546,-1,1232,1232,-1
24,1,24,洪山路东一路口,26,114.333586384000000,30.547884724500001,3880,0.000140599250338,3880,4287,236668625,5114,secondary, , ,F,0,0.000000000000000,F,F,城市主干道,57.453409909900003,1073,城市广场 城市广场 宿舍 旅游景点 甜品店 出入口 生活服务场所 中国工商银行ATM 美容美发店 餐饮相关 经济型连锁酒店 科教文化场所 出入口 出入口 餐饮相关 快餐厅 出入口 体育休闲服务场所,802,1324,公园广场 公园广场 住宅区 风景名胜相关 甜品店 地铁站 生活服务场所 自动提款机 美容美发店 餐饮相关场所 宾馆酒店 科教文化场所 地铁站 地铁站 餐饮相关场所 快餐厅 地铁站 体育休闲服务,24,1073,-1,802,802,-1
25,1,25,琴台大道江汉二桥通道,12,114.208938554000000,30.570172776800000,4915,0.000113010427395,4915,5494,369632011,5122,residential,永丰路, ,B,0,0.000000000000000,F,F,城市支路,917.708120456999950,1353,洗衣店 棋牌室 旅馆招待所 住宅小区 临街院正门 美容美发店 住宅小区 临街院门 乡镇级政府及事业单位 乡镇级政府及事业单位 住宅小区 交通服务相关 交通服务相关 传媒机构 住宅小区 邮局,1059,743,洗衣店 娱乐场所 旅馆招待所 住宅区 临街院门 美容美发店 住宅区 临街院门 政府机关 政府机关 住宅区 交通服务相关 交通服务相关 传媒机构 住宅区 邮局 银行 自动提款机 中介机构 邮局 自动,25,1353,5,1059,1059,5
26,1,26,四新南路新华园二路口,11,114.209720930000000,30.515683426399999,7365,0.000164306586248,7365,8416,721828543,5114,secondary, , ,F,0,0.000000000000000,F,F,城市主干道,3369.060310460000000,683,生活服务场所 生活服务场所 生活服务场所 美容美发店 广告装饰 生活服务场所 生活服务场所 公交车站相关 生活服务场所 生活服务场所 公交车站相关 公共厕所 中国石油 网吧 汽车服务相关,441,141,生活服务场所 生活服务场所 生活服务场所 美容美发店 公司 生活服务场所 生活服务场所 公交车站 生活服务场所 生活服务场所 公交车站 公共厕所 加油站 娱乐场所 汽车服务相关 住宅区 物流,26,683,4,441,441,4
27,1,27,南岸嘴,3,114.280051314000000,30.561910781100000,6545,0.000064400608766,6545,7435,591854721,5115,tertiary,晴川街, ,B,0,0.000000000000000,F,F,城市次干道,434.966595535000010,1246,公司 公司 交通管理机构 临街院门 公司 政府机关相关 风景名胜 旅游景点 交通管理机构 政府机关相关 加油站 道路附属设施 公园 路口名 公共厕所 生活服务场所 中餐厅 兴业银行ATM 日本料理,963,60,公司 公司 交通车辆管理 临街院门 公司 政府机关 风景名胜 风景名胜相关 交通车辆管理 政府机关 加油站 道路附属设施 公园广场 交通地名 公共厕所 生活服务场所 中餐厅 自动提款机 外国餐,27,1246,-1,963,963,-1
28,1,28,友谊大道长江隧道入口,13,114.325313482000000,30.574390471000001,6457,0.000347317781118,6457,7324,551384805,5113,primary,团结大道, ,F,0,0.000000000000000,F,F,城市主干道,1327.958432709999900,1377,酒吧 汽车配件销售 汽车养护 汽车养护 生活服务场所 汽车养护 汽车综合维修 茶艺馆 专用停车场 酒吧 休闲场所 停车场入口 停车场入口 专用停车场 临街院正门 住宅小区 住宅小区 专用停车场,1083,221,娱乐场所 汽车配件销售 汽车养护/装饰 汽车养护/装饰 生活服务场所 汽车养护/装饰 汽车综合维修 茶艺馆 停车场 娱乐场所 休闲场所 停车场 停车场 停车场 临街院门 住宅区 住宅区 停车场 美,28,1377,-1,1083,1083,-1
29,1,29,中华路粮食局,10,114.291671300000000,30.551831171000000,3318,0.000505657775771,3318,3698,231786680,5115,tertiary, , ,B,0,0.000000000000000,F,F,城市次干道,307.874558331000000,1126,生活服务场所 宾馆酒店 宾馆酒店 旅行社 中餐厅 临街院门 临街院门 美容美发店 快餐厅 住宅小区 金融保险机构 广告装饰 经济型连锁酒店 中餐厅 停车场相关 维修站点 停车场相关 临街院门,851,1152,生活服务场所 宾馆酒店 宾馆酒店 旅行社 中餐厅 临街院门 临街院门 美容美发店 快餐厅 住宅区 金融保险服务机构 公司 宾馆酒店 中餐厅 停车场 维修站点 停车场 临街院门 公交车站 住宅区 政,29,1126,-1,851,851,-1
30,1,30,小东门右转专用道,10,114.311034135000000,30.545300875100001,5287,0.000491536139626,5287,5934,455186807,5114,secondary,民主路, ,F,0,0.000000000000000,F,F,城市主干道,2146.655629190000100,1069,公共停车场 家居建材市场 公共停车场 生活服务场所 幼儿园 公共厕所 棋牌室 公司 建材五金市场 家具城 快餐厅 幼儿园 棋牌室 住宅小区 科教文化场所 中餐厅 洗衣店 住宅小区 药房 生活服务,798,954,停车场 家居建材市场 停车场 生活服务场所 学校 公共厕所 娱乐场所 公司 家居建材市场 家居建材市场 快餐厅 学校 娱乐场所 住宅区 科教文化场所 中餐厅 洗衣店 住宅区 医药保健销售店 生活,30,1069,4,798,798,4
31,1,31,东湖路,7,114.351999130000000,30.554029967100000,3198,0.000039204880458,3198,3567,231778113,5113,primary,东湖路, ,F,0,0.000000000000000,F,F,城市主干道,2814.008893579999900,1138,住宅小区 住宅小区 中餐厅 宾馆酒店 公司 洗浴推拿场所 政府机关相关 职业技术学校 公共停车场 公共停车场 公共停车场 临街院门 商务写字楼 临街院正门 公共停车场 高等院校 运动场所 海鲜,863,93,住宅区 住宅区 中餐厅 宾馆酒店 公司 洗浴推拿场所 政府机关 学校 停车场 停车场 停车场 临街院门 楼宇 临街院门 停车场 学校 运动场馆 中餐厅 外国餐厅 住宿服务相关 宾馆酒店 住宅区 公园,31,1138,-1,863,863,-1
32,1,32,洪山区二环线梨园医院处进入梨园下穿通道,10,114.373044034000000,30.584691378599999,5170,0.000615474680462,5170,5790,425879111,5131,motorway_link, , ,F,0,0.000000000000000,F,F,高架及快速路,455.272604907000020,1508,美容美发店 美容美发店 宿舍 路边停车场 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 宿舍 中餐厅 专科医院 医疗保健服务场所 建筑物门 三级甲等医院 医疗保健服务场所 自动提款机 公共停车场 急救,1201,175,美容美发店 美容美发店 住宅区 停车场 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 住宅区 中餐厅 专科医院 医疗保健服务场所 建筑物门 综合医院 医疗保健服务场所 自动提款机 停车,32,1508,6,1201,1201,6
